"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"05758P","玉晶光元大88售03","16,000","3","36,480","2.28","2.28","2.28","2.28","-","0.03","2.33","30","2.34","30","0.00",
"057592","FB臺2X富邦73購01","1,000","1","3,360","3.36","3.36","3.36","3.36","X","0.00","3.36","30","--","0","14.35",
"057593","FB臺反富邦73購01","0","0","0","--","--","--","--"," ","0.00","0.01","198","0.10","20","8.06",
"05759P","創意元大88售03","5,000","1","15,500","3.10","3.10","3.10","3.10","X","0.00","3.02","30","3.03","30","0.00",
"05760P","祥碩元大87售01","0","0","0","--","--","--","--"," ","0.00","1.95","30","1.96","30","0.00",
"05761P","嘉聯益元大8A售01","0","0","0","--","--","--","--"," ","0.00","1.19","30","1.20","30","0.00",
"05762P","台積電國票87售03","40,000","4","57,200","1.45","1.45","1.42","1.42","-","0.16","1.39","30","1.40","30","0.00",
"05763P","GIS國票88售01","8,000","2","9,440","1.18","1.18","1.18","1.18","-","0.14","1.16","30","1.17","30","0.00",
"057641","可成第一73購01","52,000","8","58,010","0.98","1.20","0.98","1.11","-","0.09","1.01","10","1.11","9","330.00",
"05764P","台灣50元大87售02","56,000","8","86,680","1.58","1.58","1.51","1.51","-","0.08","1.49","2","1.50","10","0.00",
"05765P","上銀元大88售01","0","0","0","--","--","--","--"," ","0.00","1.63","10","1.64","10","0.00",
"05766P","台積電元大87售09","0","0","0","--","--","--","--"," ","0.00","1.64","10","1.65","10","0.00",
"05767P","台積電元大87售10","30,000","1","27,600","0.92","0.92","0.92","0.92","X","0.00","0.89","499","0.90","340","0.00",
"057682","聚陽統一71購01","0","0","0","--","--","--","--"," ","0.00","0.03","10","0.10","20","125.50",
"057684","日月光第一73購01","0","0","0","--","--","--","--"," ","0.00","0.40","10","0.43","10","38.30",
"057685","麗豐第一73購01","0","0","0","--","--","--","--"," ","0.00","0.15","10","0.18","10","149.00",
"05768P","旺宏元大87售02","304,000","7","241,500","0.81","0.81","0.75","0.75","-","0.10","0.73","499","0.74","340","0.00",
"057698","美律中信73購01","0","0","0","--","--","--","--"," ","0.00","--","0","2.37","5","197.00",
"05769P","美律元大87售05","0","0","0","--","--","--","--"," ","0.00","0.56","15","0.63","10","0.00",
"05770P","京元電元大87售01","323,000","10","199,360","0.65","0.66","0.56","0.58","-","0.09","0.55","10","0.58","12","0.00",
"05771P","宏達電元大87售04","705,000","19","435,740","0.65","0.65","0.51","0.51","-","0.19","0.45","50","0.51","25","0.00",
"05772P","大立光元大87售21","64,000","1","75,520","1.18","1.18","1.18","1.18","-","0.02","1.18","25","1.19","10","0.00",
"05773P","大立光元大87售22","234,000","9","168,620","0.80","0.80","0.64","0.65","-","0.12","0.64","25","0.65","10","0.00",
"05774P","欣興元大87售02","0","0","0","--","--","--","--"," ","0.00","1.33","10","--","0","0.00",
